genotype,environment,official_answer_key_present,selection_rule,selection_uses_outcome_value,diagnostic_only
B37/MO17,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/OH43,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHM49,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/H95,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/MO17,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/OH43,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH74/PHN82,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG39/PHN82,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/TX779,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX951/LH195,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/H95,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/MO17,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/MO17,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/OH43,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHM49,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,GAH2_2022,False,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/H95,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/MO17,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/OH43,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH74/PHN82,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG39/PHN82,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/TX779,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX951/LH195,GAH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHK76,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHZ51,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH145/LH82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/MO17,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHK76,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHN82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHN82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/MO17,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHK76,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ89/PH207,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/PHZ51,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,ILH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG39/PHN82,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,MIH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,MIH1_2022,False,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/H95,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/OH43,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHK76,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHM49,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHZ51,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/H95,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/OH43,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH145/LH82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHK76,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH74/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/MO17,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHK76,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ89/PH207,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/PHZ51,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/TX779,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX951/LH195,MOH2_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/H95,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/OH43,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHK76,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHM49,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHZ51,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/H95,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
F42/OH43,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH145/LH82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHK76,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH74/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/MO17,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHK76,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG39/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ89/PH207,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/PHZ51,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX714/TX779,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX951/LH195,NCH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG39/PHN82,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,OHH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
