genotype,genotype_support_state,source_prediction_sha256,phenotype_used
LH195/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH195/PHZ51,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH244/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH244/PHK76,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH244/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH244/PHZ51,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH74/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHB47/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHB47/PHK76,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHB47/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHB47/PHZ51,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHG29/PHG47,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHG39/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHJ40/PHAJ0,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHJ89/PH207,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHRE1/PHTD5,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHW52/PHM49,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
PHW52/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
TX714/PHZ51,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
TX714/TX779,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
TX777/LH195,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
TX779/LH195,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
TX951/LH195,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
