scenario,test_year,environment,train_year_min,train_year_max,n_training_years,admission
forward_year_2020,2020,2020-TXH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-TXH2,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-TXH3,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-WIH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-WIH2,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-DEH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-GAH2,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-IAH4,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-ILH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-INH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-MIH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-MNH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-NEH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-NEH2,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-NYH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-NYH2,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-NYH3,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-SCH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-SCH1L,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-TXH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-TXH2,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-TXH3,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-WIH1,2014,2020,7,FORWARD_YEAR_LOCKED
forward_year_2021,2021,2021-WIH2,2014,2020,7,FORWARD_YEAR_LOCKED
