genotype,genotype_fold
B73_PHG39-16/PHZ51,1
B73_PHG39-17/LH82,3
B73_PHG39-17/PHZ51,0
B73_PHG39-18/LH82,3
B73_PHG39-18/PHZ51,1
B73_PHG39-19/LH82,0
B73_PHG39-19/PHZ51,2
B73_PHG39-2/LH82,2
B73_PHG39-2/PHZ51,2
B73_PHG39-20/LH82,0
B73_PHG39-20/PHZ51,0
B73_PHG39-21/LH82,1
B73_PHG39-21/PHZ51,0
B73_PHG39-22/LH82,0
B73_PHG39-22/PHZ51,0
B73_PHG39-23/LH82,2
B73_PHG39-23/PHZ51,4
B73_PHG39-24/LH82,0
B73_PHG39-24/PHZ51,2
B73_PHG39-25/LH82,4
B73_PHG39-25/PHZ51,0
B73_PHG39-3/LH82,2
B73_PHG39-3/PHZ51,1
B73_PHG39-4/LH82,4
B73_PHG39-4/PHZ51,1
B73_PHG39-5/PHZ51,1
B73_PHG39-6/LH82,2
B73_PHG39-6/PHZ51,1
B73_PHG39-7/LH82,4
B73_PHG39-7/PHZ51,4
B73_PHG39-8/LH82,4
B73_PHG39-8/PHZ51,0
B76/LH82,0
B76/PHZ51,4
B79/LH82,4
B79/PHZ51,1
B84/DK3IIH6,4
B97/LH195,0
B97/LH82,2
B97/PHB47,1
BGEM-0001-N/LH195,4
BGEM-0003-N/LH195,0
BGEM-0005-N/LH195,4
BGEM-0039-N/LH195,2
BGEM-0040-N/LH195,1
BGEM-0046-N/LH195,2
BGEM-0063-N/LH195,4
BGEM-0066-N/LH195,0
BGEM-0089-N/LH195,0
BGEM-0102-N/LH195,4
BGEM-0107-N/LH195,0
BGEM-0110-N/LH195,0
BGEM-0121-N/LH195,4
BGEM-0124-N/LH195,2
BGEM-0125-N/LH195,2
BGEM-0126-N/LH195,4
BGEM-0129-N/LH195,4
BGEM-0130-N/LH195,4
BGEM-0140-N/LH195,4
BGEM-0141-N/LH195,3
BGEM-0143-N/LH195,3
BGEM-0144-N/LH195,3
BGEM-0145-N/LH195,0
BGEM-0151-N/LH195,4
BGEM-0152-N/LH195,4
BGEM-0157-N/LH195,3
BGEM-0174-N/LH195,1
BGEM-0182-N/LH195,0
BGEM-0184-N/LH195,4
BGEM-0192-N/LH195,1
BGEM-0193-N/LH195,3
BGEM-0202-N/LH195,0
BGEM-0203-N/LH195,1
BGEM-0204-N/LH195,4
BGEM-0205-N/LH195,2
BGEM-0206-N/LH195,3
BGEM-0207-N/LH195,0
BGEM-0209-N/LH195,3
BGEM-0210-N/LH195,1
BGEM-0211-N/LH195,2
BGEM-0215-N/LH195,2
BGEM-0227-N/LH195,3
BGEM-0228-N/LH195,2
BGEM-0235-N/LH195,0
BGEM-0239-N/LH195,2
BGEM-0240-N/LH195,4
BGEM-0242-N/LH195,2
BGEM-0246-N/LH195,4
BGEM-0248-N/LH195,1
BGEM-0253-N/LH195,1
BGEM-0256-N/LH195,1
BGEM-0259-N/LH195,4
BSSSC0_001/DK3IIH6,4
BSSSC0_002/DK3IIH6,2
BSSSC0_002/LH82,3
BSSSC0_002/PHZ51,3
BSSSC0_003/DK3IIH6,0
BSSSC0_005/DK3IIH6,1
BSSSC0_008/DK3IIH6,2
BSSSC0_008/LH82,3
BSSSC0_008/PHZ51,3
BSSSC0_009/DK3IIH6,3
BSSSC0_010/PHZ51,3
BSSSC0_012/DK3IIH6,3
BSSSC0_012/PHZ51,4
BSSSC0_015/DK3IIH6,2
BSSSC0_017/DK3IIH6,1
BSSSC0_019/LH82,3
BSSSC0_019/PHZ51,3
BSSSC0_020/DK3IIH6,1
BSSSC0_020/PHZ51,0
BSSSC0_021/LH82,2
BSSSC0_023/LH82,3
BSSSC0_023/PHZ51,2
BSSSC0_024/DK3IIH6,2
BSSSC0_026/DK3IIH6,1
BSSSC0_028/LH82,3
BSSSC0_028/PHZ51,2
BSSSC0_029/DK3IIH6,4
BSSSC0_029/PHZ51,2
BSSSC0_031/LH82,4
BSSSC0_031/PHZ51,0
BSSSC0_032/LH82,1
BSSSC0_032/PHZ51,2
BSSSC0_033/DK3IIH6,2
BSSSC0_038/DK3IIH6,1
BSSSC0_038/LH82,0
BSSSC0_038/PHZ51,4
BSSSC0_044/LH82,1
BSSSC0_044/PHZ51,2
BSSSC0_047/LH82,4
BSSSC0_047/PHZ51,3
BSSSC0_048/DK3IIH6,2
BSSSC0_048/LH82,2
BSSSC0_048/PHZ51,0
BSSSC0_052/LH82,2
BSSSC0_052/PHZ51,4
BSSSC0_054/DK3IIH6,4
BSSSC0_057/DK3IIH6,3
BSSSC0_060/DK3IIH6,4
CG102/CG60,1
CG102/DK3IIH6,2
CG102/LH82,3
CG102/PHZ51,0
CG104/CG102,1
CG104/LH198,3
CG104/LH82,4
CG104/PHB47,3
CG104/PHZ51,1
CG105/CG102,0
CG105/PHB47,2
CG105/PHZ51,1
CG106/DK3IIH6,0
CG106/PHB47,3
CG106/PHZ51,4
CG108/CG102,3
CG108/CG110,4
CG108/CG111,3
CG108/CGR01,1
CG108/CGR03,0
CG108/LH162,4
CG108/LH195,2
CG108/LH198,0
CG108/LH82,4
CG108/PHB47,0
CG108/PHZ51,2
CG110/LH82,3
CG110/PHB47,3
CG111/PHB47,3
CG118/CG44,3
CG118/CGR01,4
CG118/CGR03,4
CG118/LH198,2
CG118/LH82,3
CG118/PHZ51,2
CG119/CG102,3
CG119/CG108,3
CG119/CG44,2
CG119/LH198,1
CG119/LH82,3
CG119/PHZ51,2
CG120/CG102,4
CG120/CG123,0
CG120/DK3IIH6,0
CG120/LH162,4
CG120/LH185,4
CG120/LH198,4
CG120/LH82,4
CG120/PHK05,3
CG120/PHK56,3
CG120/PHR25,4
CG120/PHW03,4
CG120/PHZ51,1
CG121/CG102,2
CG121/LH198,2
CG121/LH82,2
CG121/PHZ51,2
CG122/CG102,4
CG122/PHB47,4
CG122/PHZ51,3
CG123/CG102,3
CG123/LH145,1
CG123/LH185,4
CG123/PHB47,1
CG123/PHHV4,0
CG123/PHRE1,3
CG123/S8324,3
CG124/CG120,3
CG124/LH145,4
CG124/PHB47,2
CG124/PHHV4,3
CG124/PHRE1,1
CG124/S8324,0
CG125/PHB47,0
CG125/PHZ51,3
CG126/PHB47,3
CG127/PHB47,1
CG127/PHZ51,4
CG44/CG102,1
CG44/CG110,1
CG44/CGR01,4
CG44/CGR03,1
CG44/LH162,2
CG60/CG110,2
CG60/CG111,2
CG60/LH162,0
CG60/LH185,2
CG60/LH198,0
CG60/LH82,2
CG60/PHB47,2
CG65/CG102,2
CG65/CG108,4
CG65/LH185,2
CG65/LH82,4
CG65/PHZ51,0
CGR01/LH185,2
CGR01/LH195,1
CGR01/LH198,0
CGR01/LH82,0
CGR01/PHB47,2
CGR03/CG102,3
CGR03/LH185,4
CGR03/LH198,2
CGR03/LH82,4
CGR03/PHB47,3
CGR04/LH195,2
CGX333/CG102,1
CGX333/LH198,4
CGX333/LH82,1
CGX333/PHZ51,0
CH753-4/LH82,4
CH753-4/PHZ51,0
CI540/DK3IIH6,2
CM105/LH82,1
CM105/PHZ51,1
CML103/LH195,4
CML103/LH82,3
CML103/PHB47,3
CML228/PHB47,3
CML228/PHZ51,2
CML247/LH195,0
CML247/LH82,3
CML269/LH195,3
CML322/PHB47,0
CML322/PHZ51,2
CML333/LH82,1
CML333/PHB47,4
CML69/LH195,3
CML69/LH82,0
CO258/DK3IIH6,4
DE811/LH82,3
DE811/PHZ51,1
DK3IIH6/PHRE1,0
DK3IIH6/S8324,1
DK4676A/LH82,1
DK4676A/PHZ51,1
DK78010/DK3IIH6,4
DK78371A/PHB47,1
DKFBHJ/DK3IIH6,3
DKFBHJ/LH82,0
DKFBHJ/PHZ51,2
F42/C103,1
F42/H95,1
F42/MO17,1
F42/OH43,4
FBLA/DK3IIH6,2
FE/DK3IIH6,2
FR19/DK3IIH6,0
GEMN-0097/PHB47,3
GEMN-0138/PHB47,2
GEMN-0144/PHB47,2
GEMN-0145/PHB47,3
GEMN-0155/PHB47,3
GEMN-0156/PHB47,1
GEMN-0178/PHB47,4
GEMN-0192/PHB47,1
GEMN-0260/DK3IIH6,0
GEMN-0261/DK3IIH6,1
GEMN-0262/DK3IIH6,0
GEMN-0266/DK3IIH6,3
GEMN-0267/DK3IIH6,4
GEMN-0268/DK3IIH6,3
GEMN-0269/DK3IIH6,2
GEMS-0113/PHZ51,1
GEMS-0115/PHZ51,3
GEMS-0142/PHZ51,4
GEMS-0146/LH82,2
GEMS-0146/PHZ51,3
GEMS-0147/PHZ51,1
GEMS-0148/LH82,1
GEMS-0148/PHZ51,4
GEMS-0149/LH82,2
GEMS-0150/LH82,0
GEMS-0150/PHZ51,1
GEMS-0161/PHZ51,0
GEMS-0162/LH82,1
GEMS-0162/PHZ51,1
GEMS-0163/LH82,0
GEMS-0163/PHZ51,1
GEMS-0182/LH82,4
GEMS-0182/PHZ51,4
GEMS-0219/LH82,3
GEMS-0219/PHZ51,0
GEMS-0264/DK3IIH6,4
GEMS-0265/DK3IIH6,3
GEMS-0269/DK3IIH6,0
GT601/PHB47,2
GT601/PHZ51,0
GT602/PHB47,4
GT602/PHZ51,1
H114/LH82,4
H114/PHB47,3
H114/PHZ51,2
H122W/DK3IIH6,0
H84/DK3IIH6,1
H91/DK3IIH6,3
H95/PHB47,2
I159/DK3IIH6,1
ICI_441/LH185,2
ICI_441/LH38,0
ICI_441/LH51,1
ICI_441/LH82,4
ICI_441/PHG29,0
ICI_441/PHG47,3
ICI_441/PHG83,2
ICI_441/PHK56,3
ICI_441/PHK76,4
ICI_441/PHN82,0
ICI_441/PHR55,1
ICI_441/PHW30,1
ICI_441/PHZ51,0
ICI_441/Q381,4
ILL.HY/DK3IIH6,3
KY21/LH195,0
KY21/PHB47,2
LH132/LH195,3
LH132/LH51,3
LH132/LH82,3
LH132/PHP02,0
LH132/PHZ51,0
LH132/TX779,2
LH145/DK3IIH6,4
LH145/LH162,1
LH145/LH185,2
LH145/LH82,2
LH145/PHK05,1
LH145/PHR25,1
LH145/PHZ51,3
LH146HT/LH82,4
LH146HT/PHZ51,2
LH149/DK3IIH6,0
LH149/LH82,1
LH149/PHZ51,2
LH162/CG102,4
LH162/LH198,1
LH162/PHB47,2
LH184/PHB47,2
LH185/LH198,3
LH185/PHB47,2
LH185/PHRE1,4
LH185/S8324,4
LH195/DK3IIH6,3
LH195/LH185,1
LH195/LH198,1
LH195/LH210,1
LH195/LH38,2
LH195/LH51,3
LH195/LH82,2
LH195/MO17,3
LH195/NK787,2
LH195/PHG29,2
LH195/PHG47,0
LH195/PHG83,0
LH195/PHJ65,0
LH195/PHK56,2
LH195/PHK76,3
LH195/PHM49,4
LH195/PHM57,3
LH195/PHN11,4
LH195/PHN47,0
LH195/PHN82,4
LH195/PHP02,1
LH195/PHP60,2
LH195/PHR03,3
LH195/PHR55,3
LH195/PHR63,3
LH195/PHW30,1
LH195/PHW53,0
LH195/PHZ51,4
LH195/Q381,0
LH198/DK3IIH6,2
LH198/LH38,1
LH198/LH51,4
LH198/LH82,1
LH198/PHG29,0
LH198/PHG47,2
LH198/PHG83,3
LH198/PHK56,4
LH198/PHK76,0
LH198/PHN82,2
LH198/PHR55,0
LH198/PHW30,0
LH198/PHZ51,2
LH198/Q381,3
LH205/DK3IIH6,2
LH209/DK3IIH6,3
LH212HT/LH195,1
LH212HT/PB80,4
LH216/LH195,4
LH220HT/DK3IIH6,2
LH222/DK3IIH6,2
LH244/MO17,4
LH244/PHK76,3
LH244/PHN82,4
LH244/PHZ51,1
LH38/PHB47,0
LH51/PB80,2
LH51/PHB47,1
LH57/LH195,4
LH57/PB80,1
LH57/PHB47,2
LH59/PB80,3
LH61/LH195,3
LH61/PB80,1
LH61/PHB47,0
LH74/PHG35,0
LH74/PHM49,1
LH74/PHN82,2
LH74/TX205,2
LH82/PHB47,2
LH82/PHHV4,3
LH82/PHRE1,0
LH82/S8324,0
LH82/TX777,1
LH82/TX779,0
LH82_PH207-10/PHB47,1
LH82_PH207-11/PHB47,0
LH82_PH207-12/PHB47,4
LH82_PH207-13/PHB47,0
LH82_PH207-14/PHB47,1
LH82_PH207-15/PHB47,3
LH82_PH207-16/PHB47,3
LH82_PH207-17/PHB47,4
LH82_PH207-18/PHB47,2
LH82_PH207-19/PHB47,4
LH82_PH207-2/PHB47,3
LH82_PH207-20/PHB47,1
LH82_PH207-22/PHB47,2
LH82_PH207-23/PHB47,2
LH82_PH207-24/PHB47,0
LH82_PH207-25/PHB47,1
LH82_PH207-3/PHB47,2
LH82_PH207-4/PHB47,1
LH82_PH207-5/PHB47,3
LH82_PH207-6/PHB47,2
LH82_PH207-7/PHB47,4
LH82_PH207-8/PHB47,1
LH82_PH207-9/PHB47,2
LH82_PHG47-1/PHB47,0
LH82_PHG47-10/PHB47,4
LH82_PHG47-11/PHB47,1
LH82_PHG47-12/PHB47,1
LH82_PHG47-13/PHB47,0
LH82_PHG47-14/PHB47,4
LH82_PHG47-15/PHB47,3
LH82_PHG47-16/PHB47,4
LH82_PHG47-17/PHB47,4
LH82_PHG47-18/PHB47,2
LH82_PHG47-19/PHB47,2
LH82_PHG47-2/PHB47,3
LH82_PHG47-20/PHB47,4
LH82_PHG47-21/PHB47,2
LH82_PHG47-22/PHB47,1
LH82_PHG47-23/PHB47,2
LH82_PHG47-24/PHB47,0
LH82_PHG47-25/PHB47,2
LH82_PHG47-3/PHB47,1
LH82_PHG47-4/PHB47,1
LH82_PHG47-5/PHB47,1
LH82_PHG47-6/PHB47,0
LH82_PHG47-7/PHB47,4
LH82_PHG47-8/PHB47,1
LH82_PHG47-9/PHB47,3
M0001/LH185,2
M0001/LH195,2
M0001/LH198,0
M0001/LH82,0
M0001/PB80,0
M0001/PHZ51,1
M0003/LH185,0
M0003/LH198,2
M0003/LH82,2
M0003/PHZ51,2
M0007/LH195,4
M0007/PB80,1
M0008/CG102,3
M0008/LH185,3
M0008/LH195,4
M0008/LH198,0
M0008/LH82,4
M0008/PB80,4
M0008/PHZ51,4
M0010/LH195,3
M0010/PB80,4
M0012/CG102,2
M0012/LH185,0
M0012/LH198,4
M0012/LH82,1
M0012/PHZ51,2
M0014/CG102,4
M0014/LH185,4
M0014/LH198,4
M0014/LH82,0
M0014/PB80,2
M0014/PHZ51,0
M0015/CG102,4
M0015/LH195,1
M0015/LH198,2
M0015/LH82,3
M0015/PHZ51,1
M0016/LH195,2
M0016/PB80,0
M0022/CG102,2
M0022/LH185,4
M0022/LH198,3
M0024/CG102,0
M0024/LH185,4
M0024/LH198,0
M0024/LH82,2
M0024/PHZ51,1
M0027/CG102,0
M0027/LH185,0
M0027/LH198,1
M0028/CG102,1
M0028/LH185,2
M0028/LH195,4
M0028/LH198,4
M0028/LH82,4
M0028/PHZ51,1
M0029/PB80,2
M0030/CG102,3
M0030/LH185,1
M0030/LH198,2
M0030/LH82,0
M0030/PB80,3
M0030/PHZ51,2
M0031/LH195,1
M0031/PB80,0
M0033/CG102,1
M0033/LH185,0
M0033/LH195,3
M0033/LH198,2
M0033/LH82,1
M0033/PB80,3
M0033/PHZ51,2
M0035/CG102,4
M0035/LH185,2
M0038/CG102,3
M0039/CG102,1
M0039/LH185,4
M0039/LH195,1
M0039/LH198,1
M0039/LH82,2
M0039/PB80,2
M0039/PHZ51,3
M0041/CG102,3
M0041/LH185,2
M0041/LH198,0
M0041/LH82,3
M0041/PHZ51,1
M0042/LH185,3
M0045/LH185,0
M0045/LH198,3
M0048/PB80,2
M0051/CG102,1
M0051/LH185,4
M0051/LH198,2
M0052/CG102,4
M0052/LH185,1
M0052/LH82,3
M0052/PHZ51,2
M0057/LH195,2
M0058/CG102,3
M0058/LH185,4
M0058/LH195,1
M0058/LH198,3
M0058/LH82,2
M0058/PHZ51,4
M0061/LH198,2
M0062/CG102,3
M0062/LH198,1
M0066/LH195,1
M0067/CG102,2
M0075/CG102,0
M0075/LH185,2
M0075/LH195,1
M0075/LH82,0
M0075/PB80,1
M0076/CG102,1
M0076/LH185,2
M0077/LH185,4
M0077/LH198,2
M0077/LH82,1
M0077/PHZ51,4
M0083/CG102,4
M0083/LH185,0
M0083/LH198,2
M0083/LH82,2
M0083/PHZ51,3
M0085/LH185,0
M0085/LH198,4
M0087/CG102,3
M0087/LH185,4
M0087/LH198,2
M0088/LH185,2
M0088/LH82,2
M0088/PHZ51,3
M0092/CG102,2
M0099/LH185,4
M0099/LH195,3
M0099/PB80,0
M0101/CG102,4
M0101/LH185,3
M0101/LH198,3
M0101/LH82,4
M0101/PHZ51,1
M0106/LH185,1
M0106/LH198,1
M0114/CG102,0
M0114/LH185,3
M0114/LH198,0
M0116/LH185,1
M0116/LH82,4
M0116/PHZ51,0
M0118/LH185,3
M0118/LH198,1
M0118/LH82,3
M0118/PHZ51,4
M0141/LH185,1
M0143/LH185,1
M0143/LH195,3
M0143/LH198,4
M0143/LH82,4
M0143/PB80,3
M0143/PHZ51,3
M0151/LH185,1
M0151/LH198,4
M0154/CG102,0
M0154/LH185,3
M0154/LH195,1
M0154/LH198,3
M0154/LH82,1
M0154/PHZ51,0
M0159/LH185,4
M0159/LH198,4
M0159/PHZ51,0
M0162/PB80,2
M0163/LH185,3
M0163/LH82,1
M0163/PHZ51,4
M0164/LH195,2
M0172/CG102,2
M0172/LH185,2
M0172/LH198,3
M0186/CG102,4
M0186/LH185,0
M0186/LH198,4
M0262/CG102,2
M0262/LH185,1
M0262/LH195,4
M0262/LH198,2
M0262/LH82,4
M0262/PB80,0
M0262/PHZ51,4
M0264/CG102,1
M0264/PB80,0
M0266/CG102,2
M0266/LH185,2
M0266/LH198,3
M0266/LH82,4
M0266/PB80,1
M0266/PHZ51,0
M0269/CG102,1
M0269/LH185,2
M0269/LH198,2
M0272/LH185,2
M0272/LH198,2
M0276/CG102,1
M0276/LH198,1
M0276/PB80,4
M0287/CG102,1
M0287/LH185,1
M0287/LH198,1
M0296/LH185,2
M0296/LH198,3
M0297/CG102,1
M0297/LH185,2
M0297/LH198,4
M0309/CG102,2
M0309/LH198,0
M0310/PB80,0
M0311/CG102,4
M0311/LH185,4
M0311/LH198,2
M0315/PB80,1
M0317/CG102,0
M0317/LH185,0
M0317/LH195,1
M0317/LH198,4
M0321/LH195,1
M0323/CG102,4
M0323/LH185,0
M0323/LH198,3
M0323/PB80,2
M0325/CG102,3
M0325/LH185,1
M0325/LH195,2
M0325/LH198,1
M0325/PB80,2
M0326/CG102,4
M0326/LH185,2
M0326/LH195,0
M0326/LH198,4
M0326/PB80,2
M0328/PB80,2
M0341/CG102,3
M0341/LH185,3
M0345/LH185,4
M0346/CG102,0
M0346/LH185,1
M0346/LH198,2
M0352/CG102,2
M0352/LH185,3
M0354/CG102,0
M0354/LH185,4
M0354/LH198,0
M0355/CG102,2
M0355/LH185,4
M0357/LH185,1
M0357/PB80,0
M0360/CG102,0
M0365/LH198,2
M0368/PB80,0
M0369/LH185,3
M0369/LH198,1
M0369/PB80,3
M0378/CG102,1
M0378/LH185,3
M0382/LH195,2
M0382/PB80,3
M162W/LH195,1
M162W/PHB47,0
M162W/PHZ51,4
MBNIL_B004/DK3IIH6,0
MBNIL_B004/LH185,4
MBNIL_B004/PHZ51,2
MBNIL_B015/DK3IIH6,2
MBNIL_B015/LH185,3
MBNIL_B015/PHZ51,3
MBNIL_B040/DK3IIH6,2
MBNIL_B040/PHZ51,4
MBNIL_B043/DK3IIH6,3
MBNIL_B043/PHZ51,0
MBNIL_B044/DK3IIH6,0
MBNIL_B044/PHZ51,1
MBNIL_B049/PHZ51,0
MBNIL_B055/DK3IIH6,3
MBNIL_B055/LH185,2
MBNIL_B055/PHZ51,3
MBNIL_B057/DK3IIH6,4
MBNIL_B057/LH185,4
MBNIL_B057/PHZ51,1
MBNIL_B065/DK3IIH6,4
MBNIL_B065/PHZ51,1
MBNIL_B078/DK3IIH6,4
MBNIL_B078/PHZ51,4
MBNIL_B102/DK3IIH6,2
MBNIL_B102/LH185,2
MBNIL_B102/PHZ51,0
MBNIL_B107/DK3IIH6,3
MBNIL_B107/PHZ51,3
MBNIL_B111/DK3IIH6,0
MBNIL_B111/PHZ51,1
MBNIL_B122/DK3IIH6,1
MBNIL_B122/PHZ51,2
MBNIL_B123/DK3IIH6,0
MBNIL_B123/PHZ51,4
MBNIL_B125/DK3IIH6,1
MBNIL_B125/PHZ51,1
MBNIL_B131/DK3IIH6,3
MBNIL_B131/LH185,0
MBNIL_B131/PHZ51,1
MBNIL_B136/DK3IIH6,3
MBNIL_B136/PHZ51,2
MBNIL_B144/DK3IIH6,3
MBNIL_B144/LH185,2
MBNIL_B144/PHZ51,4
MBNIL_B154/DK3IIH6,0
MBNIL_B154/LH185,3
MBNIL_B154/PHZ51,0
MBNIL_B169/PHZ51,1
MBNIL_B175/DK3IIH6,2
MBNIL_B175/LH185,2
MBNIL_B175/PHZ51,2
MBNIL_B189/DK3IIH6,4
MBNIL_B189/LH185,0
MBNIL_B189/PHZ51,4
MO17/DK3IIH6,0
MO17/LH82,0
MO17/PHZ51,4
MO44/LH195,1
MO44/PHT69,4
MO44_LH145_0047/CG102,2
MO44_LH145_0081/PB80,2
MO44_LH145_0127/CG102,0
MO44_LH145_0127/LH185,2
MO44_LH145_0127/LH195,3
MO44_LH145_0127/LH198,0
MO44_LH145_0127/PHB47,0
MO44_LH145_0138/CG102,2
MO44_LH145_0138/LH185,0
MO44_LH145_0138/LH195,0
MO44_LH145_0138/LH198,2
MO44_LH145_0138/PHB47,2
MO44_LH145_0143/LH195,4
MO44_LH145_0143/LH198,1
MO44_PHG47_0072/CG102,1
MO44_PHG47_0072/LH185,4
MO44_PHG47_0072/LH198,0
MO44_PHG47_0072/PHB47,3
MO44_PHG47_0125/CG102,2
MO44_PHG47_0125/LH198,0
MO44_PHW65_0001/LH195,0
MO44_PHW65_0001/PHT69,1
MO44_PHW65_0009/LH195,2
MO44_PHW65_0009/PHT69,1
MO44_PHW65_0010/PHT69,2
MO44_PHW65_0012/LH195,1
MO44_PHW65_0012/PHT69,4
MO44_PHW65_0015/LH195,2
MO44_PHW65_0015/PHT69,0
MO44_PHW65_0017/LH195,0
MO44_PHW65_0017/PHT69,1
MO44_PHW65_0020/LH195,4
MO44_PHW65_0020/PHT69,1
MO44_PHW65_0023/LH195,4
MO44_PHW65_0023/PHT69,4
MO44_PHW65_0024/LH195,1
MO44_PHW65_0024/PHT69,4
MO44_PHW65_0025/CG102,4
MO44_PHW65_0025/LH185,3
MO44_PHW65_0025/LH195,1
MO44_PHW65_0025/LH198,0
MO44_PHW65_0025/PHT69,4
MO44_PHW65_0027/LH195,0
MO44_PHW65_0027/PHT69,1
MO44_PHW65_0029/LH195,0
MO44_PHW65_0029/PHT69,4
MO44_PHW65_0031/LH195,2
MO44_PHW65_0031/PHT69,0
MO44_PHW65_0033/LH195,1
MO44_PHW65_0033/PHT69,2
MO44_PHW65_0034/LH195,0
MO44_PHW65_0034/PHT69,0
MO44_PHW65_0035/CG102,4
MO44_PHW65_0035/LH185,2
MO44_PHW65_0035/LH195,1
MO44_PHW65_0035/LH198,4
MO44_PHW65_0035/PHT69,3
MO44_PHW65_0036/LH195,0
MO44_PHW65_0036/PHT69,4
MO44_PHW65_0037/LH195,0
MO44_PHW65_0037/PHT69,3
MO44_PHW65_0042/LH195,2
MO44_PHW65_0042/PHT69,4
MO44_PHW65_0048/LH195,1
MO44_PHW65_0048/PHT69,1
MO44_PHW65_0050/LH195,4
MO44_PHW65_0050/PHT69,2
MO44_PHW65_0052/LH195,0
MO44_PHW65_0052/PHT69,1
MO44_PHW65_0056/LH195,2
MO44_PHW65_0056/PHT69,0
MO44_PHW65_0060/LH195,1
MO44_PHW65_0060/PHT69,3
MO44_PHW65_0063/LH195,2
MO44_PHW65_0063/PHT69,2
MO44_PHW65_0067/LH195,3
MO44_PHW65_0067/PHT69,3
MO44_PHW65_0068/LH195,0
MO44_PHW65_0068/PHT69,0
MO44_PHW65_0069/LH195,1
MO44_PHW65_0069/PHT69,4
MO44_PHW65_0073/LH195,4
MO44_PHW65_0073/PHT69,0
MO44_PHW65_0074/LH195,0
MO44_PHW65_0074/PHT69,3
MO44_PHW65_0075/CG102,1
MO44_PHW65_0075/LH198,0
MO44_PHW65_0080/LH195,1
MO44_PHW65_0080/PHT69,3
MO44_PHW65_0083/LH195,1
MO44_PHW65_0083/PHT69,3
MO44_PHW65_0084/LH195,0
MO44_PHW65_0084/PHT69,0
MO44_PHW65_0092/LH195,4
MO44_PHW65_0092/PHT69,0
MO44_PHW65_0093/LH195,3
MO44_PHW65_0093/PHT69,4
MO44_PHW65_0098/LH195,4
MO44_PHW65_0098/PHT69,4
MO44_PHW65_0099/LH195,2
MO44_PHW65_0099/PHT69,2
MO44_PHW65_0102/LH195,1
MO44_PHW65_0103/LH195,0
MO44_PHW65_0103/PHT69,4
MO44_PHW65_0104/LH195,3
MO44_PHW65_0104/PHT69,0
MO44_PHW65_0105/LH195,4
