covariate,prefix,phenology_stage,stage_group,process_block,target_proximal,included_in_b7_candidates,exclusion_reason
biomass_EmeEnJ,biomass,EmeEnJ,vegetative,canopy_growth,False,True,
biomass_EnJFlo,biomass,EnJFlo,vegetative,canopy_growth,False,True,
biomass_FloFla,biomass,FloFla,reproductive_transition,canopy_growth,False,True,
biomass_FlaFlw,biomass,FlaFlw,reproductive_transition,canopy_growth,False,True,
biomass_FlwStG,biomass,FlwStG,reproductive_transition,canopy_growth,False,True,
biomass_StGEnG,biomass,StGEnG,grain_fill_maturity,canopy_growth,False,True,
biomass_EnGMat,biomass,EnGMat,grain_fill_maturity,canopy_growth,False,True,
biomass_MatHar,biomass,MatHar,grain_fill_maturity,canopy_growth,False,True,
yield_FlaFlw,yield,FlaFlw,reproductive_transition,target_proximal,True,False,APSIM predicted-yield output; excluded conservatively from B7 candidates
yield_FlwStG,yield,FlwStG,reproductive_transition,target_proximal,True,False,APSIM predicted-yield output; excluded conservatively from B7 candidates
yield_StGEnG,yield,StGEnG,grain_fill_maturity,target_proximal,True,False,APSIM predicted-yield output; excluded conservatively from B7 candidates
yield_EnGMat,yield,EnGMat,grain_fill_maturity,target_proximal,True,False,APSIM predicted-yield output; excluded conservatively from B7 candidates
yield_MatHar,yield,MatHar,grain_fill_maturity,target_proximal,True,False,APSIM predicted-yield output; excluded conservatively from B7 candidates
Eo_GerEme,Eo,GerEme,vegetative,water_soil,False,True,
Eo_EmeEnJ,Eo,EmeEnJ,vegetative,water_soil,False,True,
Eo_EnJFlo,Eo,EnJFlo,vegetative,water_soil,False,True,
Eo_FloFla,Eo,FloFla,reproductive_transition,water_soil,False,True,
Eo_FlaFlw,Eo,FlaFlw,reproductive_transition,water_soil,False,True,
Eo_FlwStG,Eo,FlwStG,reproductive_transition,water_soil,False,True,
Eo_StGEnG,Eo,StGEnG,grain_fill_maturity,water_soil,False,True,
Eo_EnGMat,Eo,EnGMat,grain_fill_maturity,water_soil,False,True,
Eo_MatHar,Eo,MatHar,grain_fill_maturity,water_soil,False,True,
Eos_GerEme,Eos,GerEme,vegetative,water_soil,False,True,
Eos_EmeEnJ,Eos,EmeEnJ,vegetative,water_soil,False,True,
Eos_EnJFlo,Eos,EnJFlo,vegetative,water_soil,False,True,
Eos_FloFla,Eos,FloFla,reproductive_transition,water_soil,False,True,
Eos_FlaFlw,Eos,FlaFlw,reproductive_transition,water_soil,False,True,
Eos_FlwStG,Eos,FlwStG,reproductive_transition,water_soil,False,True,
Eos_StGEnG,Eos,StGEnG,grain_fill_maturity,water_soil,False,True,
Eos_EnGMat,Eos,EnGMat,grain_fill_maturity,water_soil,False,True,
Eos_MatHar,Eos,MatHar,grain_fill_maturity,water_soil,False,True,
Es_GerEme,Es,GerEme,vegetative,water_soil,False,True,
Es_EmeEnJ,Es,EmeEnJ,vegetative,water_soil,False,True,
Es_EnJFlo,Es,EnJFlo,vegetative,water_soil,False,True,
Es_FloFla,Es,FloFla,reproductive_transition,water_soil,False,True,
Es_FlaFlw,Es,FlaFlw,reproductive_transition,water_soil,False,True,
Es_FlwStG,Es,FlwStG,reproductive_transition,water_soil,False,True,
Es_StGEnG,Es,StGEnG,grain_fill_maturity,water_soil,False,True,
Es_EnGMat,Es,EnGMat,grain_fill_maturity,water_soil,False,True,
Es_MatHar,Es,MatHar,grain_fill_maturity,water_soil,False,True,
ESW_GerEme,ESW,GerEme,vegetative,water_soil,False,True,
ESW_EmeEnJ,ESW,EmeEnJ,vegetative,water_soil,False,True,
ESW_EnJFlo,ESW,EnJFlo,vegetative,water_soil,False,True,
ESW_FloFla,ESW,FloFla,reproductive_transition,water_soil,False,True,
ESW_FlaFlw,ESW,FlaFlw,reproductive_transition,water_soil,False,True,
ESW_FlwStG,ESW,FlwStG,reproductive_transition,water_soil,False,True,
ESW_StGEnG,ESW,StGEnG,grain_fill_maturity,water_soil,False,True,
ESW_EnGMat,ESW,EnGMat,grain_fill_maturity,water_soil,False,True,
ESW_MatHar,ESW,MatHar,grain_fill_maturity,water_soil,False,True,
Flow_GerEme,Flow,GerEme,vegetative,water_soil,False,True,
Flow_EmeEnJ,Flow,EmeEnJ,vegetative,water_soil,False,True,
Flow_EnJFlo,Flow,EnJFlo,vegetative,water_soil,False,True,
Flow_FloFla,Flow,FloFla,reproductive_transition,water_soil,False,True,
Flow_FlaFlw,Flow,FlaFlw,reproductive_transition,water_soil,False,True,
Flow_FlwStG,Flow,FlwStG,reproductive_transition,water_soil,False,True,
Flow_StGEnG,Flow,StGEnG,grain_fill_maturity,water_soil,False,True,
Flow_EnGMat,Flow,EnGMat,grain_fill_maturity,water_soil,False,True,
Flow_MatHar,Flow,MatHar,grain_fill_maturity,water_soil,False,True,
FlowNO3_GerEme,FlowNO3,GerEme,vegetative,water_soil,False,True,
FlowNO3_EmeEnJ,FlowNO3,EmeEnJ,vegetative,water_soil,False,True,
FlowNO3_EnJFlo,FlowNO3,EnJFlo,vegetative,water_soil,False,True,
FlowNO3_FloFla,FlowNO3,FloFla,reproductive_transition,water_soil,False,True,
FlowNO3_FlaFlw,FlowNO3,FlaFlw,reproductive_transition,water_soil,False,True,
FlowNO3_FlwStG,FlowNO3,FlwStG,reproductive_transition,water_soil,False,True,
FlowNO3_StGEnG,FlowNO3,StGEnG,grain_fill_maturity,water_soil,False,True,
FlowNO3_EnGMat,FlowNO3,EnGMat,grain_fill_maturity,water_soil,False,True,
FlowNO3_MatHar,FlowNO3,MatHar,grain_fill_maturity,water_soil,False,True,
Flux_GerEme,Flux,GerEme,vegetative,water_soil,False,True,
Flux_EmeEnJ,Flux,EmeEnJ,vegetative,water_soil,False,True,
Flux_EnJFlo,Flux,EnJFlo,vegetative,water_soil,False,True,
Flux_FloFla,Flux,FloFla,reproductive_transition,water_soil,False,True,
Flux_FlaFlw,Flux,FlaFlw,reproductive_transition,water_soil,False,True,
Flux_FlwStG,Flux,FlwStG,reproductive_transition,water_soil,False,True,
Flux_StGEnG,Flux,StGEnG,grain_fill_maturity,water_soil,False,True,
Flux_EnGMat,Flux,EnGMat,grain_fill_maturity,water_soil,False,True,
Flux_MatHar,Flux,MatHar,grain_fill_maturity,water_soil,False,True,
Infiltration_GerEme,Infiltration,GerEme,vegetative,water_soil,False,True,
Infiltration_EmeEnJ,Infiltration,EmeEnJ,vegetative,water_soil,False,True,
Infiltration_EnJFlo,Infiltration,EnJFlo,vegetative,water_soil,False,True,
Infiltration_FloFla,Infiltration,FloFla,reproductive_transition,water_soil,False,True,
Infiltration_FlaFlw,Infiltration,FlaFlw,reproductive_transition,water_soil,False,True,
Infiltration_FlwStG,Infiltration,FlwStG,reproductive_transition,water_soil,False,True,
Infiltration_StGEnG,Infiltration,StGEnG,grain_fill_maturity,water_soil,False,True,
Infiltration_EnGMat,Infiltration,EnGMat,grain_fill_maturity,water_soil,False,True,
Infiltration_MatHar,Infiltration,MatHar,grain_fill_maturity,water_soil,False,True,
PotInf_GerEme,PotInf,GerEme,vegetative,water_soil,False,True,
PotInf_EmeEnJ,PotInf,EmeEnJ,vegetative,water_soil,False,True,
PotInf_EnJFlo,PotInf,EnJFlo,vegetative,water_soil,False,True,
PotInf_FloFla,PotInf,FloFla,reproductive_transition,water_soil,False,True,
PotInf_FlaFlw,PotInf,FlaFlw,reproductive_transition,water_soil,False,True,
PotInf_FlwStG,PotInf,FlwStG,reproductive_transition,water_soil,False,True,
PotInf_StGEnG,PotInf,StGEnG,grain_fill_maturity,water_soil,False,True,
PotInf_EnGMat,PotInf,EnGMat,grain_fill_maturity,water_soil,False,True,
PotInf_MatHar,PotInf,MatHar,grain_fill_maturity,water_soil,False,True,
PotRunoff_GerEme,PotRunoff,GerEme,vegetative,water_soil,False,True,
PotRunoff_EmeEnJ,PotRunoff,EmeEnJ,vegetative,water_soil,False,True,
PotRunoff_EnJFlo,PotRunoff,EnJFlo,vegetative,water_soil,False,True,
PotRunoff_FloFla,PotRunoff,FloFla,reproductive_transition,water_soil,False,True,
PotRunoff_FlaFlw,PotRunoff,FlaFlw,reproductive_transition,water_soil,False,True,
PotRunoff_FlwStG,PotRunoff,FlwStG,reproductive_transition,water_soil,False,True,
PotRunoff_StGEnG,PotRunoff,StGEnG,grain_fill_maturity,water_soil,False,True,
PotRunoff_EnGMat,PotRunoff,EnGMat,grain_fill_maturity,water_soil,False,True,
PotRunoff_MatHar,PotRunoff,MatHar,grain_fill_maturity,water_soil,False,True,
Runoff_GerEme,Runoff,GerEme,vegetative,water_soil,False,True,
Runoff_EmeEnJ,Runoff,EmeEnJ,vegetative,water_soil,False,True,
Runoff_EnJFlo,Runoff,EnJFlo,vegetative,water_soil,False,True,
Runoff_FloFla,Runoff,FloFla,reproductive_transition,water_soil,False,True,
Runoff_FlaFlw,Runoff,FlaFlw,reproductive_transition,water_soil,False,True,
Runoff_FlwStG,Runoff,FlwStG,reproductive_transition,water_soil,False,True,
Runoff_StGEnG,Runoff,StGEnG,grain_fill_maturity,water_soil,False,True,
Runoff_EnGMat,Runoff,EnGMat,grain_fill_maturity,water_soil,False,True,
Runoff_MatHar,Runoff,MatHar,grain_fill_maturity,water_soil,False,True,
SW_GerEme,SW,GerEme,vegetative,water_soil,False,True,
SW_EmeEnJ,SW,EmeEnJ,vegetative,water_soil,False,True,
SW_EnJFlo,SW,EnJFlo,vegetative,water_soil,False,True,
SW_FloFla,SW,FloFla,reproductive_transition,water_soil,False,True,
SW_FlaFlw,SW,FlaFlw,reproductive_transition,water_soil,False,True,
SW_FlwStG,SW,FlwStG,reproductive_transition,water_soil,False,True,
SW_StGEnG,SW,StGEnG,grain_fill_maturity,water_soil,False,True,
SW_EnGMat,SW,EnGMat,grain_fill_maturity,water_soil,False,True,
SW_MatHar,SW,MatHar,grain_fill_maturity,water_soil,False,True,
T_GerEme,T,GerEme,vegetative,water_soil,False,True,
T_EmeEnJ,T,EmeEnJ,vegetative,water_soil,False,True,
T_EnJFlo,T,EnJFlo,vegetative,water_soil,False,True,
T_FloFla,T,FloFla,reproductive_transition,water_soil,False,True,
T_FlaFlw,T,FlaFlw,reproductive_transition,water_soil,False,True,
T_FlwStG,T,FlwStG,reproductive_transition,water_soil,False,True,
T_StGEnG,T,StGEnG,grain_fill_maturity,water_soil,False,True,
T_EnGMat,T,EnGMat,grain_fill_maturity,water_soil,False,True,
T_MatHar,T,MatHar,grain_fill_maturity,water_soil,False,True,
WaterTable_GerEme,WaterTable,GerEme,vegetative,water_soil,False,True,
WaterTable_EmeEnJ,WaterTable,EmeEnJ,vegetative,water_soil,False,True,
WaterTable_EnJFlo,WaterTable,EnJFlo,vegetative,water_soil,False,True,
WaterTable_FloFla,WaterTable,FloFla,reproductive_transition,water_soil,False,True,
WaterTable_FlaFlw,WaterTable,FlaFlw,reproductive_transition,water_soil,False,True,
WaterTable_FlwStG,WaterTable,FlwStG,reproductive_transition,water_soil,False,True,
WaterTable_StGEnG,WaterTable,StGEnG,grain_fill_maturity,water_soil,False,True,
WaterTable_EnGMat,WaterTable,EnGMat,grain_fill_maturity,water_soil,False,True,
CoverGreen_GerEme,CoverGreen,GerEme,vegetative,canopy_growth,False,True,
CoverGreen_EmeEnJ,CoverGreen,EmeEnJ,vegetative,canopy_growth,False,True,
CoverGreen_EnJFlo,CoverGreen,EnJFlo,vegetative,canopy_growth,False,True,
CoverGreen_FloFla,CoverGreen,FloFla,reproductive_transition,canopy_growth,False,True,
CoverGreen_FlaFlw,CoverGreen,FlaFlw,reproductive_transition,canopy_growth,False,True,
CoverGreen_FlwStG,CoverGreen,FlwStG,reproductive_transition,canopy_growth,False,True,
CoverGreen_StGEnG,CoverGreen,StGEnG,grain_fill_maturity,canopy_growth,False,True,
CoverGreen_EnGMat,CoverGreen,EnGMat,grain_fill_maturity,canopy_growth,False,True,
CoverGreen_MatHar,CoverGreen,MatHar,grain_fill_maturity,canopy_growth,False,True,
CoverTotal_GerEme,CoverTotal,GerEme,vegetative,canopy_growth,False,True,
CoverTotal_EmeEnJ,CoverTotal,EmeEnJ,vegetative,canopy_growth,False,True,
CoverTotal_EnJFlo,CoverTotal,EnJFlo,vegetative,canopy_growth,False,True,
CoverTotal_FloFla,CoverTotal,FloFla,reproductive_transition,canopy_growth,False,True,
CoverTotal_FlaFlw,CoverTotal,FlaFlw,reproductive_transition,canopy_growth,False,True,
CoverTotal_FlwStG,CoverTotal,FlwStG,reproductive_transition,canopy_growth,False,True,
CoverTotal_StGEnG,CoverTotal,StGEnG,grain_fill_maturity,canopy_growth,False,True,
CoverTotal_EnGMat,CoverTotal,EnGMat,grain_fill_maturity,canopy_growth,False,True,
CoverTotal_MatHar,CoverTotal,MatHar,grain_fill_maturity,canopy_growth,False,True,
LAI_GerEme,LAI,GerEme,vegetative,canopy_growth,False,True,
LAI_EmeEnJ,LAI,EmeEnJ,vegetative,canopy_growth,False,True,
LAI_EnJFlo,LAI,EnJFlo,vegetative,canopy_growth,False,True,
LAI_FloFla,LAI,FloFla,reproductive_transition,canopy_growth,False,True,
LAI_FlaFlw,LAI,FlaFlw,reproductive_transition,canopy_growth,False,True,
LAI_FlwStG,LAI,FlwStG,reproductive_transition,canopy_growth,False,True,
LAI_StGEnG,LAI,StGEnG,grain_fill_maturity,canopy_growth,False,True,
LAI_EnGMat,LAI,EnGMat,grain_fill_maturity,canopy_growth,False,True,
LAI_MatHar,LAI,MatHar,grain_fill_maturity,canopy_growth,False,True,
CumTT_GerEme,CumTT,GerEme,vegetative,thermal,False,True,
CumTT_EmeEnJ,CumTT,EmeEnJ,vegetative,thermal,False,True,
CumTT_EnJFlo,CumTT,EnJFlo,vegetative,thermal,False,True,
CumTT_FloFla,CumTT,FloFla,reproductive_transition,thermal,False,True,
CumTT_FlaFlw,CumTT,FlaFlw,reproductive_transition,thermal,False,True,
CumTT_FlwStG,CumTT,FlwStG,reproductive_transition,thermal,False,True,
CumTT_StGEnG,CumTT,StGEnG,grain_fill_maturity,thermal,False,True,
CumTT_EnGMat,CumTT,EnGMat,grain_fill_maturity,thermal,False,True,
CumTT_MatHar,CumTT,MatHar,grain_fill_maturity,thermal,False,True,
