genotype,environment,predicted,full_nearest_distance,full_nearest_percentile,full_max_training_kernel_similarity,support_group,reliability_state,control_half_width_90,adaptive_half_width_90,calibration_source,control_lower_90,control_upper_90,adaptive_lower_90,adaptive_upper_90,control_rule,adaptive_rule,control_quantile_level,adaptive_quantile_level,calibration_feedback_state,test_year,model,horizon,genotype_support_state,environment_input_state,support_boundary_uses_outcome,observed_values_accessed,observed,official_answer_key_present,control_covered_90,control_interval_score_90,adaptive_covered_90,adaptive_interval_score_90
PHB47/PHN82,DEH1_2024,9.38231658936,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.03060917778,13.7340240009,4.24108722887,14.5235459498,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,10.67977276,True,True,8.70341482312,True,10.282458720930002
PHB47/PHZ51,DEH1_2024,8.31395435333,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,3.96224694176,12.6656617649,3.17272499285,13.4551837138,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.405024796,True,True,8.70341482314,True,10.28245872095
PHG29/PHG47,DEH1_2024,9.29147529602,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,4.93976788445,13.6431827076,4.15024593553,14.4327046565,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.414088184,True,True,8.703414823149998,True,10.28245872097
PHG39/PHN82,DEH1_2024,9.87711811066,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.52541069908,14.2288255222,4.73588875017,15.0183474711,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,10.45322633,True,True,8.70341482312,True,10.28245872093
PHJ40/PHAJ0,DEH1_2024,9.0959815979,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,4.74427418633,13.4476890095,3.95475223741,14.2372109584,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,5.333184716,True,True,8.70341482317,True,10.28245872099
PHRE1/PHTD5,DEH1_2024,9.51068782806,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.15898041649,13.8623952396,4.36945846758,14.6519171885,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.6088215,True,True,8.703414823109998,True,10.282458720920001
PHW52/PHM49,DEH1_2024,9.62141799927,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.2697105877,13.9731254108,4.48018863878,14.7626473598,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.473041385,True,True,8.703414823100001,True,10.282458721020001
TX777/LH195,DEH1_2024,9.23767566681,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,4.88596825524,13.5893830784,4.09644630632,14.3789050273,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.330624786,True,True,8.70341482316,True,10.28245872098
W10004_0018/PHP02,DEH1_2024,10.1317024231,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.77999501152,14.4834098347,4.99047306261,15.2729317836,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,6.845245851,True,True,8.703414823180001,True,10.28245872099
W10004_0031/PHP02,DEH1_2024,10.5379390717,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.18623166008,14.8896464832,5.39670971117,15.6791684321,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.17181191,True,True,8.70341482312,True,10.282458720930002
W10004_0062/PHP02,DEH1_2024,9.49367523193,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.14196782036,13.8453826435,4.35244587145,14.6349045924,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.639192024,True,True,8.703414823140001,True,10.28245872095
W10004_0095/PHP02,DEH1_2024,9.85154533386,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.49983792229,14.2032527454,4.71031597338,14.9927746943,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.438201465,True,True,8.70341482311,True,10.28245872092
W10004_0103/PHP02,DEH1_2024,10.3975868225,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.04587941094,14.7492942341,5.25635746202,15.538816183,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,4.970795029,True,False,30.205102461960003,False,15.993707381380016
W10004_0122/PHP02,DEH1_2024,10.1915941238,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.83988671227,14.5433015354,5.05036476335,15.3328234843,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,8.471255555,True,True,8.70341482313,True,10.28245872095
W10004_0133/PHP02,DEH1_2024,10.0656709671,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.71396355553,14.4173783787,4.92444160662,15.2069003276,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.359595325,True,True,8.70341482317,True,10.28245872098
W10004_0138/PHP02,DEH1_2024,10.6063156128,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.25460820122,14.9580230244,5.46508625231,15.7475449733,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,5.585760464,True,False,22.080369567580004,True,10.28245872099
W10004_0146/PHP02,DEH1_2024,10.1956014633,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.84389405175,14.5473088749,5.05437210283,15.3368308238,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,9.14407381,True,True,8.70341482315,True,10.282458720969998
W10004_0160/PHP02,DEH1_2024,10.8468933105,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.49518589897,15.1986007221,5.70566395006,15.988122671,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.958961577,True,True,8.70341482313,True,10.28245872094
W10004_0167/PHP02,DEH1_2024,10.0415887833,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.68988137169,14.3932961948,4.90035942278,15.1828181437,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,8.032741122,True,True,8.703414823109998,True,10.282458720920001
W10004_0168/PHP02,DEH1_2024,10.3096160889,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.95790867729,14.6613235004,5.16838672838,15.4508454494,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.9960921,True,True,8.70341482311,True,10.28245872102
W10004_0189/PHP02,DEH1_2024,10.4210186005,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.06931118889,14.772726012,5.27978923998,15.5622479609,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,8.243631309,True,True,8.703414823109998,True,10.282458720920001
W10004_0238/PHP02,DEH1_2024,10.0886116028,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.73690419121,14.4403190144,4.9473822423,15.2298409633,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,5.601628503,True,False,11.408928587390003,True,10.282458721
W10004_0258/PHP02,DEH1_2024,9.96525859833,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.61355118676,14.3169660099,4.82402923784,15.1064879588,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,6.427716055,True,True,8.703414823140001,True,10.282458720960001
W10004_0311/PHP02,DEH1_2024,10.1372394562,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.7855320446,14.4889468677,4.99601009569,15.2784688167,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.272955397,True,True,8.7034148231,True,10.28245872101
W10004_0389/PHP02,DEH1_2024,10.3679351807,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.01622776909,14.7196425922,5.22670582018,15.5091645411,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.092506346,True,True,8.703414823109998,True,10.282458720920001
W10004_0412/PHP02,DEH1_2024,9.93274307251,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.58103566094,14.2844504841,4.79151371202,15.073972433,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.115122232,True,True,8.703414823160001,True,10.28245872098
W10004_0476/PHP02,DEH1_2024,10.1810302734,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.82932286187,14.532737685,5.03980091295,15.3222596339,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,5.60393021,True,False,13.21126786053,True,10.28245872095
W10004_0608/PHP02,DEH1_2024,10.5608921051,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,6.20918469353,14.9125995167,5.41966274462,15.7021214656,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,8.667540682,True,True,8.70341482317,True,10.28245872098
W10004_0637/PHP02,DEH1_2024,10.0217485428,2.79674362126,0.647058823529,0.877066049428,WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,4.35170741157,5.14122936049,SUPPORT_GROUP_CHRONOLOGICAL_2016_2021,5.67004113121,14.3734559544,4.8805191823,15.1629779033,FROZEN_B11_90,ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,0.951281331718,NO_2023_FEEDBACK_AVAILABLE_CARRY_FORWARD_2022_DRIFT_STATE,2024,G+E_T1,T1_30DAP,SUPPORTED_FROZEN_B5_GENOME,SUPPORTED_T1_CONTEXT,False,False,7.292588494,True,True,8.703414823190002,True,10.282458721000001
