coordinate_key,latitude,longitude,source,ssurgo_available,mukey,musym,muname,cokey,compname,comppct_r,taxorder,taxsuborder,taxgrtgroup,taxsubgrp
40.6491_-104.9999,40.649055,-104.99986,USDA-NRCS Soil Data Access / SSURGO,True,497682,35,"Fort Collins loam, 0 to 3 percent slopes",26664672,Fort Collins,85,Alfisols,Ustalfs,Haplustalfs,Aridic Haplustalfs
40.8344_-96.6567,40.834392,-96.656687,USDA-NRCS Soil Data Access / SSURGO,True,1691396,9709,"Urban land-Kennebec complex, 0 to 2 percent slopes",27059724,Urban land,55,,,,
40.8519_-96.6167,40.85194,-96.61667,USDA-NRCS Soil Data Access / SSURGO,True,1691349,3785,"Crete silty clay loam, terrace, 1 to 3 percent slopes",27059738,Crete,100,Mollisols,Ustolls,Argiustolls,Pachic Argiustolls
40.8604_-96.6159,40.8604,-96.6159,USDA-NRCS Soil Data Access / SSURGO,True,2745831,7155,"Aksarben silty clay loam, terrace, 0 to 1 percent slopes",27059790,Aksarben,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
40.8613_-96.5968,40.86125437,-96.59678971,USDA-NRCS Soil Data Access / SSURGO,True,2559452,7050,"Kennebec silt loam, occasionally flooded",27059761,Kennebec,85,Mollisols,Udolls,Hapludolls,Cumulic Hapludolls
41.0514_-100.7463,41.05136,-100.7463,USDA-NRCS Soil Data Access / SSURGO,True,2745909,2674,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",27061550,Holdrege,94,Mollisols,Ustolls,Argiustolls,Typic Argiustolls
41.0530_-100.7495,41.052978,-100.749467,USDA-NRCS Soil Data Access / SSURGO,True,2745909,2674,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",27061550,Holdrege,94,Mollisols,Ustolls,Argiustolls,Typic Argiustolls
41.0538_-100.7500,41.0537589,-100.7499881,USDA-NRCS Soil Data Access / SSURGO,True,2745909,2674,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",27061550,Holdrege,94,Mollisols,Ustolls,Argiustolls,Typic Argiustolls
41.0582_-100.7553,41.0581536333333,-100.7553151,USDA-NRCS Soil Data Access / SSURGO,True,1699151,2534,"Coly silt loam, 17 to 30 percent slopes",27061480,Coly,90,Entisols,Orthents,Ustorthents,Typic Ustorthents
41.1584_-101.9883,41.158431,-101.988324,USDA-NRCS Soil Data Access / SSURGO,True,1698896,1651,"Kuma loam, 1 to 3 percent slopes",27141626,Kuma,93,Mollisols,Ustolls,Argiustolls,Pachic Argiustolls
41.1611_-96.4109,41.1611313333333,-96.4108536666667,USDA-NRCS Soil Data Access / SSURGO,True,1691417,7340,"Filbert silt loam, 0 to 1 percent slopes",27124315,Filbert,90,Mollisols,Albolls,Argialbolls,Vertic Argialbolls
41.9874_-92.2602,41.987383,-92.2601563,USDA-NRCS Soil Data Access / SSURGO,True,402815,119,"Muscatine silty clay loam, 0 to 2 percent slopes",27359914,Muscatine,95,Mollisols,Udolls,Hapludolls,Aquic Hapludolls
41.9940_-93.6884,41.99399,-93.68836,USDA-NRCS Soil Data Access / SSURGO,True,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",27396190,Clarion,85,Mollisols,Udolls,Hapludolls,Typic Hapludolls
41.9965_-93.6962,41.99653,-93.696188,USDA-NRCS Soil Data Access / SSURGO,True,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",27396302,Canisteo,85,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
41.9975_-93.6999,41.99750188,-93.69989887,USDA-NRCS Soil Data Access / SSURGO,True,2765522,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",27362252,Clarion,85,Mollisols,Udolls,Hapludolls,Typic Hapludolls
41.9976_-93.6962,41.997611,-93.696219,USDA-NRCS Soil Data Access / SSURGO,True,2922031,L507,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",27396302,Canisteo,85,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
41.9977_-93.6962,41.997745,-93.696248,USDA-NRCS Soil Data Access / SSURGO,True,2765537,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",27396190,Clarion,85,Mollisols,Udolls,Hapludolls,Typic Hapludolls
42.0346_-93.7954,42.03458,-93.79537,USDA-NRCS Soil Data Access / SSURGO,True,2834849,L55,"Nicollet loam, 1 to 3 percent slopes",27362257,Nicollet,85,Mollisols,Udolls,Hapludolls,Aquic Hapludolls
42.0659_-94.7274,42.06591034,-94.7274477,USDA-NRCS Soil Data Access / SSURGO,True,2765524,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",27361441,Clarion,85,Mollisols,Udolls,Hapludolls,Typic Hapludolls
42.0659_-94.7274,42.06593,-94.727418,USDA-NRCS Soil Data Access / SSURGO,True,2765524,L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",27361441,Clarion,85,Mollisols,Udolls,Hapludolls,Typic Hapludolls
42.6819_-84.4943,42.681924,-84.494308,USDA-NRCS Soil Data Access / SSURGO,True,3117279,CvraaB,"Conover loam, 0 to 4 percent slopes",27110088,Conover,85,Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs
42.6885_-84.4973,42.688469,-84.497319,USDA-NRCS Soil Data Access / SSURGO,True,186735,MaB,"Marlette fine sandy loam, 2 to 6 percent slopes",27110046,Marlette,90,Alfisols,Udalfs,Glossudalfs,Oxyaquic Glossudalfs
42.6899_-84.4979,42.689878,-84.497939,USDA-NRCS Soil Data Access / SSURGO,True,3117279,CvraaB,"Conover loam, 0 to 4 percent slopes",27110088,Conover,85,Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs
42.7074_-84.4697,42.707406,-84.469747,USDA-NRCS Soil Data Access / SSURGO,True,3117279,CvraaB,"Conover loam, 0 to 4 percent slopes",27110088,Conover,85,Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs
42.7076_-84.4698,42.707603,-84.46977,USDA-NRCS Soil Data Access / SSURGO,True,3117279,CvraaB,"Conover loam, 0 to 4 percent slopes",27110088,Conover,85,Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs
42.7082_-84.4695,42.708228,-84.46955,USDA-NRCS Soil Data Access / SSURGO,True,3117279,CvraaB,"Conover loam, 0 to 4 percent slopes",27110088,Conover,85,Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs
42.7235_-76.6564,42.723533,-76.656415,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7253_-76.6551,42.72532,-76.65507,USDA-NRCS Soil Data Access / SSURGO,True,289444,LtB,"Lima silt loam, 3 to 8 percent slopes",27018451,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7254_-76.6564,42.72538,-76.65642,USDA-NRCS Soil Data Access / SSURGO,True,289425,KlA,"Kendaia and Lyons soils, 0 to 3 percent slopes",27018393,Kendaia,50,Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts
42.7254_-76.6556,42.72543,-76.655565,USDA-NRCS Soil Data Access / SSURGO,True,289425,KlA,"Kendaia and Lyons soils, 0 to 3 percent slopes",27018393,Kendaia,50,Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts
42.7254_-76.6551,42.72543,-76.6551,USDA-NRCS Soil Data Access / SSURGO,True,289444,LtB,"Lima silt loam, 3 to 8 percent slopes",27018451,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7286_-76.6516,42.728569,-76.65158,USDA-NRCS Soil Data Access / SSURGO,True,289425,KlA,"Kendaia and Lyons soils, 0 to 3 percent slopes",27018393,Kendaia,50,Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts
42.7286_-76.6520,42.72856941,-76.65201913,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7291_-76.6514,42.729068,-76.651402,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7300_-76.6500,42.73,-76.65,USDA-NRCS Soil Data Access / SSURGO,True,289425,KlA,"Kendaia and Lyons soils, 0 to 3 percent slopes",27018393,Kendaia,50,Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts
42.7315_-76.6521,42.731548,-76.652105,USDA-NRCS Soil Data Access / SSURGO,True,289413,HnB,"Honeoye silt loam, 3 to 8 percent slopes",27018431,Honeoye,85,Alfisols,Udalfs,Hapludalfs,Glossic Hapludalfs
42.7326_-76.6517,42.732557,-76.651734,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7328_-76.6541,42.732845,-76.654107,USDA-NRCS Soil Data Access / SSURGO,True,289413,HnB,"Honeoye silt loam, 3 to 8 percent slopes",27018431,Honeoye,85,Alfisols,Udalfs,Hapludalfs,Glossic Hapludalfs
42.7329_-76.6520,42.7328868,-76.6520083,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7329_-76.6497,42.732895,-76.649673,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7330_-76.6520,42.733042,-76.651994,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
42.7337_-76.6565,42.73366,-76.65654,USDA-NRCS Soil Data Access / SSURGO,True,289425,KlA,"Kendaia and Lyons soils, 0 to 3 percent slopes",27018393,Kendaia,50,Inceptisols,Aquepts,Endoaquepts,Aeric Endoaquepts
42.7338_-76.6544,42.73384,-76.65443,USDA-NRCS Soil Data Access / SSURGO,True,289443,LtA,"Lima silt loam, 0 to 3 percent slopes",27018443,Lima,85,Alfisols,Udalfs,Hapludalfs,Oxyaquic Hapludalfs
43.0544_-89.5317,43.0544,-89.5317,USDA-NRCS Soil Data Access / SSURGO,True,753559,7748A,"Plano silt loam, gravelly substratum, 0 to 2 percent slopes",27525317,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0558_-89.5314,43.055767,-89.531381,USDA-NRCS Soil Data Access / SSURGO,True,753559,7748A,"Plano silt loam, gravelly substratum, 0 to 2 percent slopes",27525317,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0558_-89.5317,43.055814,-89.531719,USDA-NRCS Soil Data Access / SSURGO,True,753559,7748A,"Plano silt loam, gravelly substratum, 0 to 2 percent slopes",27525317,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0570_-89.5309,43.056965,-89.530937,USDA-NRCS Soil Data Access / SSURGO,True,753559,7748A,"Plano silt loam, gravelly substratum, 0 to 2 percent slopes",27525317,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0571_-89.5310,43.05706111,-89.53098611,USDA-NRCS Soil Data Access / SSURGO,True,753560,7748B,"Plano silt loam, gravelly substratum, 2 to 6 percent slopes",27525320,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0572_-89.5311,43.057176,-89.531052,USDA-NRCS Soil Data Access / SSURGO,True,753560,7748B,"Plano silt loam, gravelly substratum, 2 to 6 percent slopes",27525320,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.0572_-89.5294,43.057222,-89.529444,USDA-NRCS Soil Data Access / SSURGO,True,753559,7748A,"Plano silt loam, gravelly substratum, 0 to 2 percent slopes",27525317,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.2948_-89.3840,43.294786,-89.383968,USDA-NRCS Soil Data Access / SSURGO,True,423332,7199A,"Plano silt loam, till substratum, 0 to 2 percent slopes",27524243,Plano,90,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.3189_-89.3885,43.3189,-89.3885,USDA-NRCS Soil Data Access / SSURGO,True,423273,7425B,"Dresden loam, 1 to 6 pecent slopes",27524121,Dresden,90,Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs
43.3197_-89.3328,43.319722,-89.332778,USDA-NRCS Soil Data Access / SSURGO,True,423333,7199B,"Plano silt loam, till substratum, 2 to 6 percent slopes",27524246,Plano,85,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.3242_-89.3356,43.324231,-89.33564,USDA-NRCS Soil Data Access / SSURGO,True,423332,7199A,"Plano silt loam, till substratum, 0 to 2 percent slopes",27524243,Plano,90,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.3260_-89.3401,43.325958,-89.340114,USDA-NRCS Soil Data Access / SSURGO,True,423332,7199A,"Plano silt loam, till substratum, 0 to 2 percent slopes",27524243,Plano,90,Mollisols,Udolls,Argiudolls,Typic Argiudolls
43.3807_-89.3864,43.38075,-89.38645,USDA-NRCS Soil Data Access / SSURGO,True,423276,7781B,"Friesland fine sandy loam, 1 to 6 percent slopes",27524130,Friesland,100,Mollisols,Udolls,Argiudolls,Typic Argiudolls
44.0668_-93.5331,44.066804,-93.533063,USDA-NRCS Soil Data Access / SSURGO,True,2835046,L83A,"Webster clay loam, 0 to 2 percent slopes",27603777,Webster,85,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
44.0668_-93.5239,44.06684388,-93.52391105,USDA-NRCS Soil Data Access / SSURGO,True,2835046,L83A,"Webster clay loam, 0 to 2 percent slopes",27603777,Webster,85,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
44.0697_-93.5341,44.06971707,-93.53409096,USDA-NRCS Soil Data Access / SSURGO,True,455433,L84A,"Glencoe clay loam, 0 to 1 percent slopes",27603802,Glencoe,80,Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls
44.0697_-93.5265,44.06971707,-93.526527,USDA-NRCS Soil Data Access / SSURGO,True,455434,L85A,"Nicollet clay loam, 1 to 3 percent slopes",27603769,Nicollet,85,Mollisols,Udolls,Hapludolls,Aquic Hapludolls
44.0706_-93.5265,44.070629,-93.526527,USDA-NRCS Soil Data Access / SSURGO,True,2835046,L83A,"Webster clay loam, 0 to 2 percent slopes",27603777,Webster,85,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
44.0706_-93.5265,44.070646,-93.526485,USDA-NRCS Soil Data Access / SSURGO,True,455434,L85A,"Nicollet clay loam, 1 to 3 percent slopes",27603769,Nicollet,85,Mollisols,Udolls,Hapludolls,Aquic Hapludolls
44.0708_-93.5355,44.070847,-93.535534,USDA-NRCS Soil Data Access / SSURGO,True,455434,L85A,"Nicollet clay loam, 1 to 3 percent slopes",27603769,Nicollet,85,Mollisols,Udolls,Hapludolls,Aquic Hapludolls
44.0770_-93.5084,44.077,-93.5084,USDA-NRCS Soil Data Access / SSURGO,True,455439,L90A,"Le Sueur loam, 1 to 3 percent slopes",27603961,Le Sueur,80,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
44.2089_-102.9298,44.208912,-102.929751,USDA-NRCS Soil Data Access / SSURGO,True,354335,NcB,"Nunn clay loam, 2 to 6 percent slopes",27512469,Nunn,90,Mollisols,Ustolls,Argiustolls,Aridic Argiustolls
