environment,source_experiment_code,target_year,city,planting_date,planting_date_source,latitude,longitude,n_field_metadata_records,t1_metadata_feasible,t1_metadata_failure_reason,weather_station_placement_used_as_planting_proxy,treatment_application_date_used_as_planting_proxy,weather_window_rule,phenotype_used
MOH1_2023,MOH1,2023,Columbia,,NOT_AVAILABLE,38.8965374,-92.2107058,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
MOH2_2023,MOH2,2023,Columbia,,NOT_AVAILABLE,38.928161,-92.353779,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
NCH1_2023,NCH1,2023,Clayton,,NOT_AVAILABLE,35.667078,-78.491534,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
NEH1_2023,NEH1,2023,Lincoln,,NOT_AVAILABLE,40.860567,-96.59617,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
NEH3_2023,NEH3,2023,North Platte,,NOT_AVAILABLE,41.086828,-100.774403,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
NYH2_2023,NYH2,2023,Aurora,,NOT_AVAILABLE,42.733981,-76.656534,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
NYH3_2023,NYH3,2023,Aurora,,NOT_AVAILABLE,42.733981,-76.656534,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
OHH1_2023,OHH1,2023,South Charleston,,NOT_AVAILABLE,39.855872,-83.672579,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
SCH1_2023,SCH1,2023,Pendleton,,NOT_AVAILABLE,34.622498,-82.737818,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
TXH1_2023,TXH1,2023,College Station,,NOT_AVAILABLE,30.55068715,-96.43013246,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
TXH2_2023,TXH2,2023,College Station,,NOT_AVAILABLE,30.55125619,-96.43079735,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
TXH3_2023,TXH3,2023,College Station,,NOT_AVAILABLE,,,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
WIH1_2023,WIH1,2023,Madison,,NOT_AVAILABLE,43.057165,-89.531077,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
WIH2_2023,WIH2,2023,Arlington,,NOT_AVAILABLE,43.303969,-89.385335,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
WIH3_2023,WIH3,2023,Hancock,,NOT_AVAILABLE,44.11547829,-89.54806057,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
